# Quantum-safety classification of JDK algorithm names, used by the pqc rule pack.
# Generated from the provider registry of JDK 26 (Oracle, Windows: SUN, SunRsaSign, SunEC,
# SunJSSE, SunJCE, SunMSCAPI) plus its TLS parameters and XML DSig SignatureMethod constants.
# PqcCatalogCompletenessTest fails when the running JDK exposes a name this file and the
# NOT_ASYMMETRIC prefixes in PqcCatalog do not classify: add the name here, do not widen a prefix.
# Columns (tab-separated): request type, classification, family, role, names (canonical first,
# then aliases and OIDs, comma-separated). Role is - for POST_QUANTUM.
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA384withRSA,1.2.840.113549.1.1.12,OID.1.2.840.113549.1.1.12
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA512/224withRSA,1.2.840.113549.1.1.15,OID.1.2.840.113549.1.1.15
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA512/256withRSA,1.2.840.113549.1.1.16,OID.1.2.840.113549.1.1.16
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA512withDSA,2.16.840.1.101.3.4.3.4,OID.2.16.840.1.101.3.4.3.4
SIGNATURE	VULNERABLE	DSA	SIGNATURE	SHA512withDSAinP1363Format
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA512withECDSA,1.2.840.10045.4.3.4,OID.1.2.840.10045.4.3.4
SIGNATURE	VULNERABLE	EC	SIGNATURE	SHA512withECDSAinP1363Format
SIGNATURE	VULNERABLE	RSA	SIGNATURE	SHA512withRSA,1.2.840.113549.1.1.13,OID.1.2.840.113549.1.1.13
KEY_AGREEMENT	VULNERABLE	DH	KEY_ESTABLISHMENT	DiffieHellman,1.2.840.113549.1.3.1,DH,OID.1.2.840.113549.1.3.1
KEY_AGREEMENT	VULNERABLE	EC	KEY_ESTABLISHMENT	ECDH
KEY_AGREEMENT	VULNERABLE	XDH	KEY_ESTABLISHMENT	X25519,1.3.101.110,OID.1.3.101.110
KEY_AGREEMENT	VULNERABLE	XDH	KEY_ESTABLISHMENT	X448,1.3.101.111,OID.1.3.101.111
KEY_AGREEMENT	VULNERABLE	XDH	KEY_ESTABLISHMENT	XDH
KEM	VULNERABLE	DHKEM	KEY_ESTABLISHMENT	DHKEM
KEM	POST_QUANTUM	ML_KEM	-	ML-KEM
